title,description,publishedAt,source
Bird flu confirmed in older Wyoming woman who likely had contact with infected flock at her home - The Associated Press,"Wyoming health department officials say an older woman is hospitalized with bird flu. It’s the state’s first human case of Type A H5N1 influenza, which is spreading through animals and some people. The U.S. Centers for Disease Control and Prevention data show…",2025-02-15T14:51:00Z,"{'id': 'associated-press', 'name': 'Associated Press'}"
Column | The ‘Saturday Night Live’ machine grinds on - The Washington Post,”Saturday Night Live” at 50: How the show that saved NBC changed television.,2025-02-15T14:32:34Z,"{'id': 'the-washington-post', 'name': 'The Washington Post'}"
Trump strangles Europe - Axios,"No amount of ""Trump-proofing"" could have prepared Europe for this week.",2025-02-15T14:25:40Z,"{'id': 'axios', 'name': 'Axios'}"
Israeli hostages and Palestinian inmates freed in ceasefire swap - BBC.com,"Hamas releases three more Israelis, as 369 Palestinians are handed over in the sixth exchange in recent weeks.",2025-02-15T14:18:24Z,"{'id': None, 'name': 'BBC News'}"
Corporate America’s Souring Profit Outlook Clouds Equity Rally - Bloomberg,"Beneath a solid fourth-quarter earnings season, there’s a worrisome development that may put a dent in the bull case for US stocks: Corporate America’s profit outlook is souring.",2025-02-15T14:00:00Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}"
"CONFIRMED lineups: Osasuna vs Real Madrid, 2025 La Liga - Managing Madrid",All set!,2025-02-15T13:21:45Z,"{'id': None, 'name': 'Managing Madrid'}"
She thought she was having indigestion. Doctors found a near-fatal artery blockage. - CBS News,"Reena Caprario said her family was told she was ""lucky to be alive"" after she experienced a heart attack.",2025-02-15T13:00:11Z,"{'id': 'cbs-news', 'name': 'CBS News'}"
Labord's chameleon: The color-changing lizard that drops dead in 4 months - Livescience.com,Labord's chameleons are only found in Western Madagascar and have developed a live fast die young life cycle to cope with the extreme environmental conditions.,2025-02-15T13:00:00Z,"{'id': None, 'name': 'Live Science'}"
An asteroid has a 2% chance of hitting Earth in 2032. Here’s how astronomers are tracking it - CNN,Asteroid 2024 YR4 has a 2% chance of hitting Earth in 2032. Astronomers are tracking it to refine estimates of its size and orbit to see how much of a risk the space rock poses.,2025-02-15T12:54:00Z,"{'id': 'cnn', 'name': 'CNN'}"
How changes to a CDC vaccine panel under Kennedy could reshape policy - NPR,A committee of experts that advises the Centers for Disease Control and Prevention is critical in setting national vaccine policy. It's also vulnerable to political interference.,2025-02-15T12:30:00Z,"{'id': None, 'name': 'NPR'}"
"Pope spends quiet first night in hospital, continues drug therapy and reads papers, Vatican says - The Associated Press","The Vatican says Pope Francis slept well during a quiet first night in the hospital after being admitted with a respiratory tract infection. Francis, 88, ate breakfast Saturday morning and read the newspapers while continuing his drug therapy. Francis was adm…",2025-02-15T12:19:00Z,"{'id': 'associated-press', 'name': 'Associated Press'}"
iPhone SE 4: Apple Confirms New Product Launch Date Is Almost Here - Forbes,"Apple has just teased something cryptic, and it looks like we know exactly when the iPhone SE 4th generation will be here. Here's the full run-down.",2025-02-15T12:07:02Z,"{'id': None, 'name': 'Forbes'}"
Trump's spending cuts target probationary workers. What does the status mean? - NPR,"As the Trump administration carries out mass firings of the federal workforce in a push to slash government spending, its targeting probationary workers. Here's what to know about the employee status.",2025-02-15T12:00:00Z,"{'id': None, 'name': 'NPR'}"
"Courts block Trump's DOGE actions — chaos, panic not proving to be best legal strategy - NPR",Some legal scholars say that the administration is bungling the chance to expand presidential power.,2025-02-15T12:00:00Z,"{'id': None, 'name': 'NPR'}"
"No. 1 Jannik Sinner gets 3-month ban in settlement of doping case, can return before French Open - The Associated Press",Top-ranked tennis player Jannik Sinner has accepted a three-month ban in a settlement with the World Anti-Doping Agency and says the agreement ends a case that was “hanging over me” since his two positive doping tests nearly a year ago. WADA was seeking to ba…,2025-02-15T12:00:00Z,"{'id': 'associated-press', 'name': 'Associated Press'}"
"NATO's Rutte tells Europe to 'stop complaining' about being sidelined, pledges spending targets increase - CNBC",The NATO secretary general confirmed the alliance would reach a new agreement for defense spending targets when members meet in June.,2025-02-15T11:58:06Z,"{'id': None, 'name': 'CNBC'}"
"Previewing USA-Canada, Sweden-Finland in 4 Nations Face-Off: Top stats, key players, betting picks - ESPN","A Saturday doubleheader on ABC and ESPN+ includes the second game for all four squads. Here are keys to victory, broadcast details and more.",2025-02-15T11:57:57Z,"{'id': 'espn', 'name': 'ESPN'}"
Ukraine rejects Trump bid to take rights to half its mineral reserves - Financial Times,Kyiv wants security guarantees to be tied to any natural resources deal,2025-02-15T11:57:23Z,"{'id': None, 'name': 'Financial Times'}"
The Diablo hackers that debunked a record speedrun - Ars Technica,Investigators decompiled the game to search through 2.2 billion random dungeon seeds.,2025-02-15T11:45:12Z,"{'id': 'ars-technica', 'name': 'Ars Technica'}"
